WellID	PlateID	Column	Row	i5	i7
Plate3_E1	3	1	E	i5_F1_515rcbc110	i7_R21_515rcbc773
Plate3_F1	3	1	F	i5_F1_515rcbc110	i7_R22_515rcbc877
Plate3_G1	3	1	G	i5_F1_515rcbc110	i7_R23_515rcbc892
Plate3_H1	3	1	H	i5_F1_515rcbc110	i7_R24_515rcbc959
Plate3_A2	3	2	A	i5_F2_515rcbc184	i7_R17_515rcbc2
Plate3_B2	3	2	B	i5_F2_515rcbc184	i7_R18_515rcbc257
Plate3_C2	3	2	C	i5_F2_515rcbc184	i7_R19_515rcbc364
Plate3_D2	3	2	D	i5_F2_515rcbc184	i7_R20_515rcbc406
Plate3_E2	3	2	E	i5_F2_515rcbc184	i7_R21_515rcbc773
Plate3_F2	3	2	F	i5_F2_515rcbc184	i7_R22_515rcbc877
Plate3_G2	3	2	G	i5_F2_515rcbc184	i7_R23_515rcbc892
Plate3_H2	3	2	H	i5_F2_515rcbc184	i7_R24_515rcbc959
Plate3_A3	3	3	A	i5_F3_515rcbc434	i7_R17_515rcbc2
Plate3_B3	3	3	B	i5_F3_515rcbc434	i7_R18_515rcbc257
Plate3_C3	3	3	C	i5_F3_515rcbc434	i7_R19_515rcbc364
Plate3_D3	3	3	D	i5_F3_515rcbc434	i7_R20_515rcbc406
Plate3_E3	3	3	E	i5_F3_515rcbc434	i7_R21_515rcbc773
Plate3_F3	3	3	F	i5_F3_515rcbc434	i7_R22_515rcbc877
Plate3_G3	3	3	G	i5_F3_515rcbc434	i7_R23_515rcbc892
Plate3_H3	3	3	H	i5_F3_515rcbc434	i7_R24_515rcbc959
Plate3_A4	3	4	A	i5_F4_515rcbc443	i7_R17_515rcbc2
Plate3_B4	3	4	B	i5_F4_515rcbc443	i7_R18_515rcbc257
Plate3_C4	3	4	C	i5_F4_515rcbc443	i7_R19_515rcbc364
Plate3_D4	3	4	D	i5_F4_515rcbc443	i7_R20_515rcbc406
Plate3_E4	3	4	E	i5_F4_515rcbc443	i7_R21_515rcbc773
Plate3_F4	3	4	F	i5_F4_515rcbc443	i7_R22_515rcbc877
Plate3_G4	3	4	G	i5_F4_515rcbc443	i7_R23_515rcbc892
Plate3_H4	3	4	H	i5_F4_515rcbc443	i7_R24_515rcbc959
Plate3_A5	3	5	A	i5_F5_515rcbc551	i7_R17_515rcbc2
Plate3_B5	3	5	B	i5_F5_515rcbc551	i7_R18_515rcbc257
Plate3_C5	3	5	C	i5_F5_515rcbc551	i7_R19_515rcbc364
Plate3_D5	3	5	D	i5_F5_515rcbc551	i7_R20_515rcbc406
Plate3_E5	3	5	E	i5_F5_515rcbc551	i7_R21_515rcbc773
Plate3_F5	3	5	F	i5_F5_515rcbc551	i7_R22_515rcbc877
Plate3_G5	3	5	G	i5_F5_515rcbc551	i7_R23_515rcbc892
Plate3_H5	3	5	H	i5_F5_515rcbc551	i7_R24_515rcbc959
Plate3_A6	3	6	A	i5_F6_515rcbc587	i7_R17_515rcbc2
Plate3_B6	3	6	B	i5_F6_515rcbc587	i7_R18_515rcbc257
Plate3_C6	3	6	C	i5_F6_515rcbc587	i7_R19_515rcbc364
Plate3_D6	3	6	D	i5_F6_515rcbc587	i7_R20_515rcbc406
Plate3_E6	3	6	E	i5_F6_515rcbc587	i7_R21_515rcbc773
Plate3_F6	3	6	F	i5_F6_515rcbc587	i7_R22_515rcbc877
Plate3_G6	3	6	G	i5_F6_515rcbc587	i7_R23_515rcbc892
Plate3_H6	3	6	H	i5_F6_515rcbc587	i7_R24_515rcbc959
Plate3_A7	3	7	A	i5_F7_515rcbc621	i7_R17_515rcbc2
Plate3_B7	3	7	B	i5_F7_515rcbc621	i7_R18_515rcbc257
Plate3_C7	3	7	C	i5_F7_515rcbc621	i7_R19_515rcbc364
Plate3_D7	3	7	D	i5_F7_515rcbc621	i7_R20_515rcbc406
Plate3_E7	3	7	E	i5_F7_515rcbc621	i7_R21_515rcbc773
Plate3_F7	3	7	F	i5_F7_515rcbc621	i7_R22_515rcbc877
Plate3_G7	3	7	G	i5_F7_515rcbc621	i7_R23_515rcbc892
Plate3_H7	3	7	H	i5_F7_515rcbc621	i7_R24_515rcbc959
Plate3_A8	3	8	A	i5_F8_515rcbc628	i7_R17_515rcbc2
Plate3_B8	3	8	B	i5_F8_515rcbc628	i7_R18_515rcbc257
Plate3_C8	3	8	C	i5_F8_515rcbc628	i7_R19_515rcbc364
Plate3_D8	3	8	D	i5_F8_515rcbc628	i7_R20_515rcbc406
Plate3_E8	3	8	E	i5_F8_515rcbc628	i7_R21_515rcbc773
Plate3_F8	3	8	F	i5_F8_515rcbc628	i7_R22_515rcbc877
Plate3_G8	3	8	G	i5_F8_515rcbc628	i7_R23_515rcbc892
Plate3_H8	3	8	H	i5_F8_515rcbc628	i7_R24_515rcbc959
Plate3_A9	3	9	A	i5_F9_515rcbc679	i7_R17_515rcbc2
Plate3_B9	3	9	B	i5_F9_515rcbc679	i7_R18_515rcbc257
Plate3_C9	3	9	C	i5_F9_515rcbc679	i7_R19_515rcbc364
Plate3_D9	3	9	D	i5_F9_515rcbc679	i7_R20_515rcbc406
Plate3_E9	3	9	E	i5_F9_515rcbc679	i7_R21_515rcbc773
Plate3_F9	3	9	F	i5_F9_515rcbc679	i7_R22_515rcbc877
Plate3_G9	3	9	G	i5_F9_515rcbc679	i7_R23_515rcbc892
Plate3_H9	3	9	H	i5_F9_515rcbc679	i7_R24_515rcbc959
Plate3_A10	3	10	A	i5_F10_515rcbc695	i7_R17_515rcbc2
Plate3_B10	3	10	B	i5_F10_515rcbc695	i7_R18_515rcbc257
Plate3_C10	3	10	C	i5_F10_515rcbc695	i7_R19_515rcbc364
Plate3_D10	3	10	D	i5_F10_515rcbc695	i7_R20_515rcbc406
Plate3_E10	3	10	E	i5_F10_515rcbc695	i7_R21_515rcbc773
Plate3_F10	3	10	F	i5_F10_515rcbc695	i7_R22_515rcbc877
Plate3_G10	3	10	G	i5_F10_515rcbc695	i7_R23_515rcbc892
Plate3_H10	3	10	H	i5_F10_515rcbc695	i7_R24_515rcbc959
Plate3_A11	3	11	A	i5_F11_515rcbc789	i7_R17_515rcbc2
Plate3_B11	3	11	B	i5_F11_515rcbc789	i7_R18_515rcbc257
Plate3_C11	3	11	C	i5_F11_515rcbc789	i7_R19_515rcbc364
Plate3_D11	3	11	D	i5_F11_515rcbc789	i7_R20_515rcbc406
Plate3_E11	3	11	E	i5_F11_515rcbc789	i7_R21_515rcbc773
Plate3_F11	3	11	F	i5_F11_515rcbc789	i7_R22_515rcbc877
Plate3_G11	3	11	G	i5_F11_515rcbc789	i7_R23_515rcbc892
Plate3_H11	3	11	H	i5_F11_515rcbc789	i7_R24_515rcbc959
Plate3_A12	3	12	A	i5_F12_515rcbc950	i7_R17_515rcbc2
Plate3_B12	3	12	B	i5_F12_515rcbc950	i7_R18_515rcbc257
Plate3_C12	3	12	C	i5_F12_515rcbc950	i7_R19_515rcbc364
Plate3_D12	3	12	D	i5_F12_515rcbc950	i7_R20_515rcbc406
Plate3_E12	3	12	E	i5_F12_515rcbc950	i7_R21_515rcbc773
Plate3_F12	3	12	F	i5_F12_515rcbc950	i7_R22_515rcbc877
Plate3_G12	3	12	G	i5_F12_515rcbc950	i7_R23_515rcbc892
Plate3_H12	3	12	H	i5_F12_515rcbc950	i7_R24_515rcbc959
Plate4_A1	4	1	A	i5_F13_515rcbc258	i7_R1_515rcbc105
Plate4_B1	4	1	B	i5_F13_515rcbc258	i7_R2_515rcbc158
Plate4_C1	4	1	C	i5_F13_515rcbc258	i7_R3_515rcbc263
Plate4_D1	4	1	D	i5_F13_515rcbc258	i7_R4_515rcbc370
Plate4_E1	4	1	E	i5_F13_515rcbc258	i7_R5_515rcbc388
Plate4_F1	4	1	F	i5_F13_515rcbc258	i7_R6_515rcbc408
Plate4_G1	4	1	G	i5_F13_515rcbc258	i7_R7_515rcbc417
Plate4_H1	4	1	H	i5_F13_515rcbc258	i7_R8_515rcbc829
Plate4_A2	4	2	A	i5_F14_515rcbc277	i7_R1_515rcbc105
Plate4_B2	4	2	B	i5_F14_515rcbc277	i7_R2_515rcbc158
Plate4_C2	4	2	C	i5_F14_515rcbc277	i7_R3_515rcbc263
Plate4_D2	4	2	D	i5_F14_515rcbc277	i7_R4_515rcbc370
Plate4_E2	4	2	E	i5_F14_515rcbc277	i7_R5_515rcbc388
Plate4_F2	4	2	F	i5_F14_515rcbc277	i7_R6_515rcbc408
Plate4_G2	4	2	G	i5_F14_515rcbc277	i7_R7_515rcbc417
Plate4_H2	4	2	H	i5_F14_515rcbc277	i7_R8_515rcbc829
Plate4_A3	4	3	A	i5_F15_515rcbc472	i7_R1_515rcbc105
Plate4_B3	4	3	B	i5_F15_515rcbc472	i7_R2_515rcbc158
Plate4_C3	4	3	C	i5_F15_515rcbc472	i7_R3_515rcbc263
Plate4_D3	4	3	D	i5_F15_515rcbc472	i7_R4_515rcbc370
Plate4_E3	4	3	E	i5_F15_515rcbc472	i7_R5_515rcbc388
Plate4_F3	4	3	F	i5_F15_515rcbc472	i7_R6_515rcbc408
Plate4_G3	4	3	G	i5_F15_515rcbc472	i7_R7_515rcbc417
Plate4_H3	4	3	H	i5_F15_515rcbc472	i7_R8_515rcbc829
Plate4_A4	4	4	A	i5_F16_515rcbc707	i7_R1_515rcbc105
Plate4_B4	4	4	B	i5_F16_515rcbc707	i7_R2_515rcbc158
Plate4_C4	4	4	C	i5_F16_515rcbc707	i7_R3_515rcbc263
Plate4_D4	4	4	D	i5_F16_515rcbc707	i7_R4_515rcbc370
Plate4_E4	4	4	E	i5_F16_515rcbc707	i7_R5_515rcbc388
Plate4_F4	4	4	F	i5_F16_515rcbc707	i7_R6_515rcbc408
Plate4_G4	4	4	G	i5_F16_515rcbc707	i7_R7_515rcbc417
Plate4_H4	4	4	H	i5_F16_515rcbc707	i7_R8_515rcbc829
Plate4_A5	4	5	A	i5_F17_515rcbc762	i7_R1_515rcbc105
Plate4_B5	4	5	B	i5_F17_515rcbc762	i7_R2_515rcbc158
Plate4_C5	4	5	C	i5_F17_515rcbc762	i7_R3_515rcbc263
Plate4_D5	4	5	D	i5_F17_515rcbc762	i7_R4_515rcbc370
Plate4_E5	4	5	E	i5_F17_515rcbc762	i7_R5_515rcbc388
Plate4_F5	4	5	F	i5_F17_515rcbc762	i7_R6_515rcbc408
Plate4_G5	4	5	G	i5_F17_515rcbc762	i7_R7_515rcbc417
Plate4_H5	4	5	H	i5_F17_515rcbc762	i7_R8_515rcbc829
Plate4_A6	4	6	A	i5_F18_515rcbc797	i7_R1_515rcbc105
Plate4_B6	4	6	B	i5_F18_515rcbc797	i7_R2_515rcbc158
Plate4_C6	4	6	C	i5_F18_515rcbc797	i7_R3_515rcbc263
Plate4_D6	4	6	D	i5_F18_515rcbc797	i7_R4_515rcbc370
Plate4_E6	4	6	E	i5_F18_515rcbc797	i7_R5_515rcbc388
Plate4_F6	4	6	F	i5_F18_515rcbc797	i7_R6_515rcbc408
Plate4_G6	4	6	G	i5_F18_515rcbc797	i7_R7_515rcbc417
Plate4_H6	4	6	H	i5_F18_515rcbc797	i7_R8_515rcbc829
Plate4_A7	4	7	A	i5_F19_515rcbc800	i7_R1_515rcbc105
Plate4_B7	4	7	B	i5_F19_515rcbc800	i7_R2_515rcbc158
Plate4_C7	4	7	C	i5_F19_515rcbc800	i7_R3_515rcbc263
Plate4_D7	4	7	D	i5_F19_515rcbc800	i7_R4_515rcbc370
Plate4_E7	4	7	E	i5_F19_515rcbc800	i7_R5_515rcbc388
Plate4_F7	4	7	F	i5_F19_515rcbc800	i7_R6_515rcbc408
Plate4_G7	4	7	G	i5_F19_515rcbc800	i7_R7_515rcbc417
Plate4_H7	4	7	H	i5_F19_515rcbc800	i7_R8_515rcbc829
Plate4_A8	4	8	A	i5_F20_515rcbc844	i7_R1_515rcbc105
Plate4_B8	4	8	B	i5_F20_515rcbc844	i7_R2_515rcbc158
Plate4_C8	4	8	C	i5_F20_515rcbc844	i7_R3_515rcbc263
Plate4_D8	4	8	D	i5_F20_515rcbc844	i7_R4_515rcbc370
